transaction_id,timestamp,customer_id,amount,transaction_type,merchant,location_from,location_to,risk_score,fraud_flag,status_of_transaction,marked_as,reviewed_response,explanation,graph_statistics
TXN123621,2025-03-26 21:22:15.640762,CUST0001,95833.93,Bill Payment,Flipkart,Bhopal,Surat,0.6,1,Reviewed,Legitimate,,,
TXN432493,2025-03-27 01:22:15.640762,CUST0001,75462.67,Withdrawal,BestBuy,Pune,Sydney,0.82,1,Reviewed,Fraudulent,,,
TXN698711,2025-03-29 00:22:15.640762,CUST0001,85125.47,Purchase,Target,Indore,Kanpur,0.62,1,Fraud,Fraudulent,,,
TXN376186,2025-03-29 12:22:15.640762,CUST0001,34406.19,Transfer,BestBuy,Indore,Lucknow,0.93,1,Under Review,Suspicious,,,
TXN550717,2025-03-31 01:22:15.640762,CUST0001,98386.95,Purchase,Target,Delhi,Mumbai,0.54,1,Under Review,Suspicious,,,
TXN182485,2025-03-31 18:22:15.640842,CUST0002,60040.7,Bill Payment,Target,Lucknow,Bangalore,0.94,1,Under Review,Fraudulent,,,
TXN569575,2025-04-01 14:22:15.640842,CUST0002,78776.79,Transfer,Flipkart,Indore,Toronto,0.71,1,Reviewed,Fraudulent,,,
TXN635535,2025-04-03 13:22:15.640842,CUST0002,64319.34,Bill Payment,Macy's,Visakhapatnam,Jaipur,0.79,1,Not Fraud,Fraudulent,,,
TXN782516,2025-04-05 13:22:15.640842,CUST0002,85864.09,Bill Payment,Macy's,Chennai,Mumbai,0.57,1,Not Fraud,Suspicious,,,
TXN729563,2025-04-07 10:22:15.640842,CUST0002,58658.07,Purchase,Macy's,Bangalore,Kolkata,0.08,0,Under Review,Fraudulent,,,
TXN838587,2025-04-09 06:22:15.640842,CUST0002,18674.99,Bill Payment,Walmart,Mumbai,Visakhapatnam,0.17,0,Under Review,Legitimate,,,
TXN170498,2025-03-13 14:22:15.640909,CUST0003,21706.52,Purchase,Macy's,Nagpur,Surat,0.93,1,Under Review,Fraudulent,,,
TXN719478,2025-03-14 10:22:15.640909,CUST0003,83817.05,Transfer,Flipkart,Lucknow,Bhopal,0.91,1,Reviewed,Legitimate,,,
TXN443213,2025-03-16 09:22:15.640909,CUST0003,60610.19,Transfer,Amazon,Mumbai,Kolkata,0.75,1,Under Review,Suspicious,,,
TXN186074,2025-03-17 16:22:15.640909,CUST0003,53773.33,Bill Payment,Flipkart,Surat,Visakhapatnam,0.6,1,Under Review,Suspicious,,,
TXN180063,2025-03-18 05:22:15.640909,CUST0003,50597.7,Withdrawal,Amazon,Chennai,Kanpur,0.97,1,Not Fraud,Suspicious,,,
TXN652838,2025-02-24 18:22:15.640966,CUST0004,77604.44,Transfer,BestBuy,Kolkata,Visakhapatnam,0.67,1,Reviewed,Fraudulent,,,
TXN647896,2025-02-25 19:22:15.640966,CUST0004,30428.5,Purchase,Snapdeal,Nagpur,Hyderabad,0.88,1,Under Review,Legitimate,,,
TXN664172,2025-02-27 07:22:15.640966,CUST0004,20632.85,Purchase,Macy's,Ahmedabad,Bangalore,0.23,0,Reviewed,Legitimate,,,
TXN658754,2025-03-01 05:22:15.640966,CUST0004,6596.56,Transfer,Target,Nagpur,Chennai,0.91,1,Fraud,Legitimate,,,
TXN207789,2025-03-01 09:22:15.640966,CUST0004,68944.83,Transfer,Macy's,Bhopal,Ahmedabad,0.87,1,Reviewed,Legitimate,,,
TXN595118,2025-03-25 12:22:15.641013,CUST0005,90469.81,Transfer,Amazon,Bangalore,Nagpur,0.54,1,Fraud,Suspicious,,,
TXN305287,2025-03-26 08:22:15.641013,CUST0005,84912.59,Purchase,Walmart,Ahmedabad,New York,0.72,1,Reviewed,Fraudulent,,,
TXN804348,2025-03-28 03:22:15.641013,CUST0005,71249.78,Purchase,Macy's,Indore,Surat,0.66,1,Not Fraud,Fraudulent,,,
